k,dimension,epoch,fonction de similarite,qualite
50,2,40,"similarite_trajectoires_JACCARD_cosinus",0.31925465838509315
1,2,50,"similarite_trajectoires_MRR_cosinus",0.2546583850931677
2,2,50,"similarite_trajectoires_MRR_cosinus",0.2587991718426501
3,2,50,"similarite_trajectoires_MRR_cosinus",0.2662525879917184
4,2,50,"similarite_trajectoires_MRR_cosinus",0.2732919254658385
5,2,50,"similarite_trajectoires_MRR_cosinus",0.27660455486542446
6,2,50,"similarite_trajectoires_MRR_cosinus",0.2811594202898551
8,2,50,"similarite_trajectoires_MRR_cosinus",0.2985507246376812
10,2,50,"similarite_trajectoires_MRR_cosinus",0.3093167701863354
12,2,50,"similarite_trajectoires_MRR_cosinus",0.31801242236024846
15,2,50,"similarite_trajectoires_MRR_cosinus",0.32298136645962733
20,2,50,"similarite_trajectoires_MRR_cosinus",0.32629399585921326
25,2,50,"similarite_trajectoires_MRR_cosinus",0.32629399585921326
30,2,50,"similarite_trajectoires_MRR_cosinus",0.32546583850931676
40,2,50,"similarite_trajectoires_MRR_cosinus",0.32546583850931676
50,2,50,"similarite_trajectoires_MRR_cosinus",0.32629399585921326
1,2,50,"similarite_trajectoires_JACCARD_cosinus",0.25217391304347825
2,2,50,"similarite_trajectoires_JACCARD_cosinus",0.2554865424430642
3,2,50,"similarite_trajectoires_JACCARD_cosinus",0.2608695652173913
4,2,50,"similarite_trajectoires_JACCARD_cosinus",0.27039337474120084
5,2,50,"similarite_trajectoires_JACCARD_cosinus",0.27784679089026915
6,2,50,"similarite_trajectoires_JACCARD_cosinus",0.2836438923395445
8,2,50,"similarite_trajectoires_JACCARD_cosinus",0.29316770186335406
10,2,50,"similarite_trajectoires_JACCARD_cosinus",0.30351966873706004
12,2,50,"similarite_trajectoires_JACCARD_cosinus",0.3101449275362319
15,2,50,"similarite_trajectoires_JACCARD_cosinus",0.3151138716356108
20,2,50,"similarite_trajectoires_JACCARD_cosinus",0.3184265010351967
25,2,50,"similarite_trajectoires_JACCARD_cosinus",0.3213250517598344
30,2,50,"similarite_trajectoires_JACCARD_cosinus",0.3242236024844721
40,2,50,"similarite_trajectoires_JACCARD_cosinus",0.32298136645962733
50,2,50,"similarite_trajectoires_JACCARD_cosinus",0.3225672877846791
1,2,70,"similarite_trajectoires_MRR_cosinus",0.2484472049689441
2,2,70,"similarite_trajectoires_MRR_cosinus",0.25093167701863356
3,2,70,"similarite_trajectoires_MRR_cosinus",0.25590062111801243
4,2,70,"similarite_trajectoires_MRR_cosinus",0.2645962732919255
5,2,70,"similarite_trajectoires_MRR_cosinus",0.27246376811594203
6,2,70,"similarite_trajectoires_MRR_cosinus",0.27867494824016564
8,2,70,"similarite_trajectoires_MRR_cosinus",0.28902691511387163
10,2,70,"similarite_trajectoires_MRR_cosinus",0.30269151138716355
12,2,70,"similarite_trajectoires_MRR_cosinus",0.30807453416149067
15,2,70,"similarite_trajectoires_MRR_cosinus",0.3113871635610766
20,2,70,"similarite_trajectoires_MRR_cosinus",0.3142857142857143
25,2,70,"similarite_trajectoires_MRR_cosinus",0.31635610766045547
30,2,70,"similarite_trajectoires_MRR_cosinus",0.3146997929606625
40,2,70,"similarite_trajectoires_MRR_cosinus",0.3159420289855073
50,2,70,"similarite_trajectoires_MRR_cosinus",0.3167701863354037
1,2,70,"similarite_trajectoires_JACCARD_cosinus",0.25175983436853
2,2,70,"similarite_trajectoires_JACCARD_cosinus",0.25424430641821943
3,2,70,"similarite_trajectoires_JACCARD_cosinus",0.2596273291925466
4,2,70,"similarite_trajectoires_JACCARD_cosinus",0.26956521739130435
5,2,70,"similarite_trajectoires_JACCARD_cosinus",0.27784679089026915
6,2,70,"similarite_trajectoires_JACCARD_cosinus",0.28405797101449276
8,2,70,"similarite_trajectoires_JACCARD_cosinus",0.2956521739130435
10,2,70,"similarite_trajectoires_JACCARD_cosinus",0.30351966873706004
12,2,70,"similarite_trajectoires_JACCARD_cosinus",0.3134575569358178
15,2,70,"similarite_trajectoires_JACCARD_cosinus",0.31801242236024846
20,2,70,"similarite_trajectoires_JACCARD_cosinus",0.32215320910973083
25,2,70,"similarite_trajectoires_JACCARD_cosinus",0.32298136645962733
30,2,70,"similarite_trajectoires_JACCARD_cosinus",0.3250517598343685
40,2,70,"similarite_trajectoires_JACCARD_cosinus",0.32298136645962733
50,2,70,"similarite_trajectoires_JACCARD_cosinus",0.3238095238095238
1,2,100,"similarite_trajectoires_MRR_cosinus",0.24886128364389234
2,2,100,"similarite_trajectoires_MRR_cosinus",0.2496894409937888
3,2,100,"similarite_trajectoires_MRR_cosinus",0.2579710144927536
4,2,100,"similarite_trajectoires_MRR_cosinus",0.2670807453416149
5,2,100,"similarite_trajectoires_MRR_cosinus",0.2720496894409938
6,2,100,"similarite_trajectoires_MRR_cosinus",0.2782608695652174
8,2,100,"similarite_trajectoires_MRR_cosinus",0.29523809523809524
10,2,100,"similarite_trajectoires_MRR_cosinus",0.306832298136646
12,2,100,"similarite_trajectoires_MRR_cosinus",0.31097308488612835
15,2,100,"similarite_trajectoires_MRR_cosinus",0.31387163561076603
20,2,100,"similarite_trajectoires_MRR_cosinus",0.31718426501035196
25,2,100,"similarite_trajectoires_MRR_cosinus",0.3188405797101449
30,2,100,"similarite_trajectoires_MRR_cosinus",0.3175983436853002
40,2,100,"similarite_trajectoires_MRR_cosinus",0.3167701863354037
50,2,100,"similarite_trajectoires_MRR_cosinus",0.3184265010351967
1,2,100,"similarite_trajectoires_JACCARD_cosinus",0.25300207039337475
2,2,100,"similarite_trajectoires_JACCARD_cosinus",0.253416149068323
3,2,100,"similarite_trajectoires_JACCARD_cosinus",0.26335403726708073
4,2,100,"similarite_trajectoires_JACCARD_cosinus",0.2679089026915114
5,2,100,"similarite_trajectoires_JACCARD_cosinus",0.2720496894409938
6,2,100,"similarite_trajectoires_JACCARD_cosinus",0.2795031055900621
8,2,100,"similarite_trajectoires_JACCARD_cosinus",0.2939958592132505
10,2,100,"similarite_trajectoires_JACCARD_cosinus",0.3076604554865424
12,2,100,"similarite_trajectoires_JACCARD_cosinus",0.3105590062111801
15,2,100,"similarite_trajectoires_JACCARD_cosinus",0.3142857142857143
20,2,100,"similarite_trajectoires_JACCARD_cosinus",0.32008281573498965
25,2,100,"similarite_trajectoires_JACCARD_cosinus",0.32008281573498965
